iter	Passed	Remaining
0	5	1084
1	11	1123
2	16	1069
3	20	999
4	26	1041
5	31	1021
6	35	979
7	41	1002
8	46	982
9	50	958
10	55	956
11	60	945
12	64	921
13	69	921
14	74	918
15	78	898
16	82	887
17	87	887
18	92	882
19	96	872
20	101	869
21	107	866
22	111	854
23	115	846
24	120	846
25	125	837
26	128	826
27	133	818
28	138	814
29	142	808
30	146	799
31	151	796
32	156	791
33	160	783
34	166	782
35	170	778
36	175	771
37	180	767
38	183	757
39	186	747
40	190	740
41	194	732
42	198	723
43	201	713
44	204	704
45	210	703
46	214	697
47	217	690
48	221	683
49	226	680
50	231	675
51	234	667
52	239	663
53	243	658
54	247	653
55	251	646
56	256	644
57	260	637
58	264	632
59	267	624
60	273	624
61	277	618
62	281	611
63	285	606
64	290	602
65	294	597
66	297	591
67	301	586
68	306	582
69	310	576
70	313	569
71	317	564
72	323	562
73	327	557
74	330	551
75	336	548
76	340	543
77	352	551
78	356	545
79	360	540
80	364	534
81	369	531
82	373	526
83	377	520
84	380	515
85	386	512
86	390	507
87	393	501
88	399	497
89	403	493
90	408	488
91	411	482
92	416	478
93	420	473
94	424	468
95	427	463
96	432	459
97	437	454
98	440	449
99	444	444
100	449	440
101	454	436
102	457	431
103	462	426
104	466	422
105	470	417
106	474	411
107	478	407
108	482	402
109	485	397
110	488	391
111	492	387
112	497	383
113	502	379
114	506	374
115	510	369
116	515	365
117	518	360
118	522	355
119	526	351
120	529	345
121	533	341
122	536	336
123	540	331
124	545	327
125	549	322
126	552	317
127	556	312
128	561	308
129	565	304
130	569	300
131	574	296
132	580	292
133	584	287
134	588	283
135	594	279
136	598	275
137	602	270
138	605	265
139	609	261
140	613	256
141	616	251
142	619	246
143	623	242
144	626	237
145	630	233
146	633	228
147	636	223
148	640	219
149	644	214
150	647	210
151	650	205
152	653	200
153	659	196
154	662	192
155	665	187
156	671	183
157	676	179
158	682	176
159	689	172
160	695	168
161	699	164
162	705	160
163	710	155
164	714	151
165	721	147
166	727	143
167	731	139
168	737	135
169	742	130
170	748	126
171	754	122
172	758	118
173	762	113
174	765	109
175	770	105
176	773	100
177	777	96
178	782	91
179	787	87
180	790	83
181	794	78
182	797	74
183	802	69
184	806	65
185	810	60
186	813	56
187	818	52
188	822	47
189	826	43
190	829	39
191	835	34
192	838	30
193	842	26
194	846	21
195	852	17
196	856	13
197	860	8
198	865	4
199	868	0
